               Megnevezés  Darab
                   Aceton  1
   Aktív szén, darabos t.  1
           Alumínium, por  2
      Alumínium, reszelék  1
          Ammónium-acetát  1
        Ammónium-bikromát  1
   Ammónium-hidroxid 25 %  3
        Ammónium-karbonát  1
          Ammónium-klorid  2
             Ásványi olaj  2
              Cink-klorid  1
           Cink granulált  1
       Cink fém, por a.r.  1
              Etil-acetát  1
                   Faszén  1
          Fenolftaleinpor  1
                      Jód  1
           Kálcium-karbid  3
        Magnézium forgács  1
         Magnézium szalag  1
             Metilalkohol  1
              Nátrium fém  5
                Petróleum  1
                  Vazelin  1
------------------------
 Összeg = 87040 Ft
