Ügyfélkód;Sávszélesség;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
5030966334;256;326;363;590;456;492;592;251;157;247;394;380;103;448;108;202;136;103;289;490;534;561;104;440;176;331;496;431;75;554;10
7381415400;256;213;295;138;394;523;370;178;486;465;7;445;376;34;400;218;66;320;194;566;164;363;281;93;257;114;133;554;352;86;347
5067666678;512;368;370;239;104;548;435;453;518;586;431;585;446;568;335;564;229;46;233;260;452;222;377;178;314;115;575;25;319;499;72
5426426292;256;323;499;204;45;21;556;284;56;585;249;405;563;350;195;191;251;182;377;489;56;151;131;555;31;18;396;593;146;195;511
6099642927;256;364;100;560;353;106;62;582;103;199;94;46;74;174;308;226;450;482;418;78;196;519;363;67;554;344;104;83;590;416;439
9883143425;512;321;0;559;54;575;48;512;198;396;561;86;54;201;175;556;238;521;61;210;420;467;5;377;451;10;308;473;30;391;368
8229090334;1000;246;248;58;321;384;510;156;559;464;349;381;294;309;380;413;16;62;456;427;221;129;524;396;573;120;98;241;343;533;34
2444950029;256;79;88;600;334;595;476;545;78;203;286;586;96;35;409;355;71;599;431;306;363;578;272;582;51;233;187;84;184;192;545
6369558909;256;573;240;258;86;347;275;292;355;223;510;553;518;347;593;297;531;143;532;53;559;455;274;243;17;356;213;251;87;541;418
521838171;1000;402;373;326;567;551;595;254;230;473;578;353;469;455;288;180;547;518;181;7;4;527;53;413;39;159;195;244;273;411;51
1418769018;512;232;275;103;271;149;447;343;298;510;224;297;290;491;113;295;263;219;248;197;158;103;42;502;285;150;92;266;128;127;566
4171370837;256;89;198;133;99;336;136;536;337;587;518;310;253;517;242;6;417;251;5;296;162;207;115;288;102;454;106;57;473;144;517
3322619443;256;404;223;520;305;401;81;335;83;408;312;50;376;509;569;539;468;308;244;73;505;599;483;306;228;445;39;46;161;526;282
460121358;512;494;402;451;374;262;549;122;398;501;161;431;296;593;421;264;46;437;108;25;428;569;534;456;531;155;399;294;233;70;520
671324141;1000;69;93;84;427;304;70;170;383;583;332;421;255;578;337;503;476;169;534;557;92;573;176;292;307;564;555;565;46;206;256
7316788016;256;468;52;0;164;413;100;561;371;168;204;81;447;522;335;57;219;254;291;586;151;267;345;278;377;512;83;316;115;10;153
4236474829;1000;121;507;320;112;29;210;26;400;87;237;261;183;532;388;158;419;92;412;100;279;544;286;235;475;381;581;24;373;582;397
411059961;1000;89;220;147;178;440;317;161;388;316;568;592;121;86;330;26;524;274;566;249;73;224;296;495;414;593;153;157;530;228;112
464968584;512;32;48;599;350;543;565;400;206;585;302;599;570;273;373;334;227;441;307;266;587;310;127;170;500;495;366;49;308;559;589
5241977986;512;0;361;165;426;388;215;251;187;294;511;537;499;178;271;178;451;471;577;284;96;200;476;483;181;434;211;340;382;204;447
