Év	Népesség (férfi)	Népesség (Nõ)	Élveszületés	Halálozás
1950	4470291	4822223	195567	106902
1951	4517829	4865195	190645	109998
1952	4557733	4905154	185820	107443
1953	4601091	4944116	206926	112039
1954	4654979	4990089	223347	106670
1955	4721011	5045589	210430	97848
1956	4783475	5099735	192810	104236
1957	4733516	5095062	167202	103645
1958	4743045	5107113	158428	97866
1959	4778418	5134611	151194	103880
1960	4804043	5157001	146461	101525
1961	4828164	5177816	140365	96410
1962	4851471	5198464	130053	108273
1963	4863372	5208343	132335	99871
1964	4880359	5223820	132141	100830
1965	4896837	5238653	133009	108119
1966	4909957	5250423	138489	101943
1967	4929411	5267515	148886	109530
1968	4949843	5286439	154419	115354
1969	4969737	5305610	154318	116659
1970	5003651	5318448	151819	120197
1971	5019472	5334249	150640	123009
1972	5032776	5348576	153265	118991
1973	5050271	5365355	156224	123366
1974	5066834	5381650	186288	125816
1975	5097229	5411727	194240	131102
1976	5128907	5443187	185405	132240
1977	5155852	5469407	177574	132031
1978	5177960	5492842	168160	140121
1979	5191336	5507505	160364	136829
1980	5188709	5520754	148673	145355
1981	5188095	5524686	142890	144757
1982	5184515	5526399	133559	144318
1983	5177073	5523082	127258	148643
1984	5163504	5515266	125359	146709
1985	5149332	5508088	130200	147614
1986	5138124	5501882	128204	147089
1987	5126602	5494519	125840	142601
1988	5116264	5488096	124296	140042
1989	5106715	5481899	123304	144695
1990	4984904	5389919	125679	145660
1991	4979833	5393319	127207	144813
1992	4975730	5397917	121724	148781
1993	4966328	5398707	117033	150244
1994	4953428	5396582	115598	146889
1995	4941620	5395081	112054	145431
1996	4929222	5392007	105272	143130
1997	4915956	5385291	100350	139434
1998	4901764	5377960	97301	140870
1999	4884396	5369020	94645	143210
2000	4865194	5356450	97597	135601
2001	4851012	5349286	97047	132183
2002	4836980	5337873	96804	132833
2003	4818456	5323906	94647	135823
2004	4804113	5312629	95100	132500
