1, 'SZ-00001/2018', '2018-01-01', '2018-01-01', 13,
2, 'SZ-00002/2018', '2018-01-01', '2018-01-01', 10,
3, 'SZ-00003/2018', '2018-01-01', '2018-01-01', 60,
4, 'SZ-00004/2018', '2018-01-02', '2018-01-02', 1,
5, 'SZ-00005/2018', '2018-01-02', '2018-01-02', 61,
6, 'SZ-00006/2018', '2018-01-02', '2018-01-02', 15,
7, 'SZ-00007/2018', '2018-01-02', '2018-01-02', 84,
8, 'SZ-00008/2018', '2018-01-02', '2018-01-02', 9,
9, 'SZ-00009/2018', '2018-01-02', '2018-01-02', 73,
10, 'SZ-00010/2018', '2018-01-02', '2018-01-02', 2,
11, 'SZ-00011/2018', '2018-01-02', '2018-01-02', 54,
12, 'SZ-00012/2018', '2018-01-02', '2018-01-02', 34,
13, 'SZ-00013/2018', '2018-01-02', '2018-01-02', 53,
14, 'SZ-00014/2018', '2018-01-02', '2018-01-02', 97,
15, 'SZ-00015/2018', '2018-01-02', '2018-01-02', 13,
16, 'SZ-00016/2018', '2018-01-02', '2018-01-02', 10,
17, 'SZ-00017/2018', '2018-01-02', '2018-01-02', 25,
18, 'SZ-00018/2018', '2018-01-02', '2018-01-02', 20,
19, 'SZ-00019/2018', '2018-01-02', '2018-01-02', 77,
20, 'SZ-00020/2018', '2018-01-02', '2018-01-02', 57,
21, 'SZ-00021/2018', '2018-01-02', '2018-01-02', 86,
22, 'SZ-00022/2018', '2018-01-03', '2018-01-03', 16,
23, 'SZ-00023/2018', '2018-01-03', '2018-01-03', 31,
24, 'SZ-00024/2018', '2018-01-03', '2018-01-03', 74,
25, 'SZ-00025/2018', '2018-01-04', '2018-01-04', 15,
26, 'SZ-00026/2018', '2018-01-04', '2018-01-04', 89,
27, 'SZ-00027/2018', '2018-01-04', '2018-01-04', 53,
28, 'SZ-00028/2018', '2018-01-05', '2018-01-05', 3,
29, 'SZ-00029/2018', '2018-01-05', '2018-01-05', 81,
30, 'SZ-00030/2018', '2018-01-05', '2018-01-05', 70,
31, 'SZ-00031/2018', '2018-01-05', '2018-01-05', 56,
32, 'SZ-00032/2018', '2018-01-05', '2018-01-05', 99,
33, 'SZ-00033/2018', '2018-01-05', '2018-01-05', 22,
34, 'SZ-00034/2018', '2018-01-06', '2018-01-06', 14,
35, 'SZ-00035/2018', '2018-01-06', '2018-01-06', 46,
36, 'SZ-00036/2018', '2018-01-06', '2018-01-06', 91,
37, 'SZ-00037/2018', '2018-01-06', '2018-01-06', 34,
38, 'SZ-00038/2018', '2018-01-07', '2018-01-07', 86,
39, 'SZ-00039/2018', '2018-01-07', '2018-01-07', 93,
40, 'SZ-00040/2018', '2018-01-07', '2018-01-07', 92,
41, 'SZ-00041/2018', '2018-01-07', '2018-01-07', 21,
42, 'SZ-00042/2018', '2018-01-07', '2018-01-07', 3,
43, 'SZ-00043/2018', '2018-01-07', '2018-01-07', 70,
44, 'SZ-00044/2018', '2018-01-07', '2018-01-07', 42,
45, 'SZ-00045/2018', '2018-01-07', '2018-01-07', 18,
46, 'SZ-00046/2018', '2018-01-08', '2018-01-08', 16,
47, 'SZ-00047/2018', '2018-01-09', '2018-01-09', 30,
48, 'SZ-00048/2018', '2018-01-09', '2018-01-09', 18,
49, 'SZ-00049/2018', '2018-01-09', '2018-01-09', 14,
50, 'SZ-00050/2018', '2018-01-09', '2018-01-09', 17,
51, 'SZ-00051/2018', '2018-01-09', '2018-01-09', 5,
52, 'SZ-00052/2018', '2018-01-09', '2018-01-09', 25,
53, 'SZ-00053/2018', '2018-01-09', '2018-01-09', 31,
54, 'SZ-00054/2018', '2018-01-09', '2018-01-09', 12,
55, 'SZ-00055/2018', '2018-01-09', '2018-01-09', 93,
56, 'SZ-00056/2018', '2018-01-09', '2018-01-09', 73,
57, 'SZ-00057/2018', '2018-01-09', '2018-01-09', 93,
58, 'SZ-00058/2018', '2018-01-09', '2018-01-09', 40,
59, 'SZ-00059/2018', '2018-01-10', '2018-01-10', 57,
60, 'SZ-00060/2018', '2018-01-10', '2018-01-10', 43,
61, 'SZ-00061/2018', '2018-01-10', '2018-01-10', 13,
62, 'SZ-00062/2018', '2018-01-10', '2018-01-10', 17,
63, 'SZ-00063/2018', '2018-01-11', '2018-01-11', 67,
64, 'SZ-00064/2018', '2018-01-11', '2018-01-11', 16,
65, 'SZ-00065/2018', '2018-01-11', '2018-01-11', 88,
66, 'SZ-00066/2018', '2018-01-11', '2018-01-11', 76,
67, 'SZ-00067/2018', '2018-01-11', '2018-01-11', 31,
68, 'SZ-00068/2018', '2018-01-12', '2018-01-12', 38,
69, 'SZ-00069/2018', '2018-01-12', '2018-01-12', 89,
70, 'SZ-00070/2018', '2018-01-13', '2018-01-13', 4,
71, 'SZ-00071/2018', '2018-01-13', '2018-01-13', 85,
72, 'SZ-00072/2018', '2018-01-13', '2018-01-13', 46,
73, 'SZ-00073/2018', '2018-01-14', '2018-01-14', 79,
74, 'SZ-00074/2018', '2018-01-14', '2018-01-14', 26,
75, 'SZ-00075/2018', '2018-01-14', '2018-01-14', 80,
76, 'SZ-00076/2018', '2018-01-15', '2018-01-15', 88,
77, 'SZ-00077/2018', '2018-01-16', '2018-01-16', 40,
78, 'SZ-00078/2018', '2018-01-16', '2018-01-16', 47,
79, 'SZ-00079/2018', '2018-01-16', '2018-01-16', 83,
80, 'SZ-00080/2018', '2018-01-16', '2018-01-16', 17,
81, 'SZ-00081/2018', '2018-01-16', '2018-01-16', 86,
82, 'SZ-00082/2018', '2018-01-16', '2018-01-16', 60,
83, 'SZ-00083/2018', '2018-01-16', '2018-01-16', 2,
84, 'SZ-00084/2018', '2018-01-17', '2018-01-17', 38,
85, 'SZ-00085/2018', '2018-01-17', '2018-01-17', 8,
86, 'SZ-00086/2018', '2018-01-17', '2018-01-17', 82,
87, 'SZ-00087/2018', '2018-01-17', '2018-01-17', 4,
88, 'SZ-00088/2018', '2018-01-17', '2018-01-17', 70,
